insurance_type,age,vehicle_age,claim_amount,annual_premium,incidents,witness_count,policy_type,collision_type,police_report,is_fraud
auto,76,12,2599.29,1805.65,0,0,basic,rear,no,0
property,20,12,4132.64,2081.33,1,1,basic,side,no,0
auto,57,17,2573.24,1107.18,0,2,basic,side,yes,0
auto,32,9,823.27,2493.11,1,2,premium,side,no,0
auto,29,9,6943.59,4358.24,0,2,basic,front,no,0
auto,36,12,4316.12,841.67,0,1,basic,rear,yes,0
auto,30,3,2922.63,2280.02,0,2,basic,none,yes,0
auto,48,3,1851.35,2367.31,0,0,standard,rear,no,0
auto,79,16,1301.27,2353.84,0,3,basic,rear,no,0
auto,54,4,4258.72,4110.95,1,2,standard,rear,yes,0
auto,62,10,11264.47,5004.08,2,1,standard,none,yes,0
health,48,5,4197.38,1608.82,4,1,standard,front,no,0
property,18,4,1383.08,2531.55,0,1,basic,rear,no,0
auto,23,11,4262.37,1885.82,2,1,standard,rear,yes,0
health,34,16,3507.5,1318.09,1,0,basic,side,no,0
health,33,8,6666.37,2070.21,0,2,basic,none,no,0
health,70,2,5567.57,2529.43,1,0,standard,front,yes,0
health,70,4,450.3,2015.18,2,1,basic,side,yes,0
health,70,3,5333.0,1163.76,0,3,basic,side,yes,0
property,57,17,1803.64,1434.0,2,2,basic,rear,no,0
auto,52,6,1345.86,1439.49,0,3,basic,front,no,0
auto,58,7,3190.93,1186.52,0,2,basic,front,no,0
health,43,1,4854.59,2114.91,0,3,basic,none,no,0
property,59,8,1154.57,2228.44,0,0,standard,rear,yes,0
auto,67,18,5962.25,2950.59,0,2,basic,rear,no,0
property,65,8,6212.62,1177.55,1,1,basic,none,no,0
health,56,13,3762.67,1354.6,3,0,premium,none,no,0
health,21,3,1983.59,3933.5,0,0,standard,front,no,0
property,62,2,1834.33,1665.29,1,0,standard,none,no,0
health,40,14,7466.28,1835.49,0,0,standard,none,no,0
health,64,1,1264.14,1656.48,1,1,basic,none,yes,0
health,51,8,7670.44,3185.98,0,0,basic,side,no,0
auto,72,6,3243.35,3248.36,1,3,standard,none,no,0
property,38,0,3404.71,3154.56,0,2,premium,none,no,0
property,75,10,1101.4,1832.22,0,3,standard,none,no,0
health,70,19,3285.58,1168.86,0,0,standard,none,no,0
auto,38,1,5594.34,4734.38,1,0,standard,rear,no,0
auto,47,16,1428.69,2774.3,0,3,basic,none,no,0
auto,50,10,5161.82,1438.95,2,1,basic,none,no,0
auto,65,14,3875.03,3684.57,1,3,premium,none,no,0
health,60,1,2320.11,1383.26,2,0,basic,front,yes,0
property,70,17,6622.78,3660.49,0,0,basic,none,no,0
health,40,0,779.32,3786.29,0,1,standard,rear,no,0
auto,49,18,4640.96,1140.54,1,2,basic,none,no,0
property,44,13,11311.83,2418.44,1,0,premium,none,yes,0
property,74,6,9976.23,2673.37,1,0,basic,none,yes,0
health,36,0,4783.2,6683.88,1,0,premium,none,yes,0
auto,54,12,2947.83,1247.44,1,0,basic,none,no,0
health,25,1,2333.07,3700.68,0,3,basic,rear,no,0
auto,70,12,2945.26,1823.79,3,3,standard,front,no,0
auto,41,15,5327.65,971.96,1,0,premium,none,yes,0
health,39,5,2069.22,1702.76,2,1,basic,rear,no,0
health,54,4,6186.94,1810.27,0,1,basic,none,no,1
auto,48,4,16207.22,1064.81,0,0,basic,front,no,0
property,70,4,3486.6,2113.47,2,2,basic,none,no,0
property,50,2,1420.73,2918.73,2,3,standard,none,yes,0
health,50,4,1420.38,2036.73,1,2,premium,side,yes,0
auto,24,13,6270.4,1378.95,2,3,standard,none,no,0
auto,19,6,3491.82,1678.68,2,2,basic,front,no,0
health,42,15,6726.31,1803.94,2,2,standard,none,no,0
property,79,16,2506.03,2015.58,0,3,standard,side,yes,0
health,74,15,6512.23,3149.24,0,2,basic,side,no,0
auto,56,10,3259.05,2071.38,1,3,basic,front,no,0
auto,57,6,2180.36,896.64,0,3,standard,rear,no,0
auto,42,18,2749.85,1364.9,4,0,standard,none,yes,0
health,29,4,1575.08,1964.53,0,2,basic,rear,no,0
auto,18,9,14655.22,3171.82,1,2,standard,none,no,0
auto,39,9,3403.41,3459.65,0,1,standard,none,no,0
health,37,14,5716.77,4391.13,1,2,premium,none,yes,0
property,29,10,2500.36,1930.06,1,3,premium,none,yes,0
auto,34,15,1743.5,2648.25,1,0,basic,none,yes,0
auto,19,18,3091.1,873.73,0,2,basic,none,no,0
health,55,7,7870.17,2241.59,2,3,standard,none,no,0
property,75,17,2528.77,1056.13,0,1,standard,front,no,0
auto,60,3,1979.56,1752.38,1,1,basic,none,no,0
auto,45,18,4059.54,8224.88,0,0,standard,none,no,0
health,44,3,5163.22,2104.38,0,1,premium,front,yes,0
auto,37,17,11498.75,1173.91,0,1,basic,front,no,0
property,26,7,4663.98,2216.97,0,3,basic,side,no,0
health,55,19,5714.69,1396.13,0,0,basic,none,no,0
auto,53,2,6023.92,1118.37,1,2,basic,none,no,0
property,18,9,1624.39,5174.87,0,0,standard,rear,yes,0
health,43,18,1855.05,3082.22,0,3,basic,rear,no,0
auto,35,0,1704.92,2149.02,1,1,standard,none,no,0
auto,28,5,1432.96,1486.36,0,1,basic,rear,no,0
health,61,1,6353.89,1547.82,1,3,standard,none,yes,0
property,50,6,4460.58,3909.8,1,2,basic,front,no,0
auto,57,7,3849.3,2107.57,0,0,standard,front,no,0
auto,62,12,592.94,387.07,0,1,basic,rear,yes,0
property,78,5,15349.43,6066.09,1,1,standard,rear,no,0
auto,67,3,1946.93,1981.34,0,2,basic,none,yes,0
auto,56,3,15310.11,2146.69,0,3,standard,side,yes,0
auto,72,18,1320.19,3113.02,1,2,basic,none,yes,0
health,47,19,2061.77,2281.76,0,1,basic,none,yes,0
health,79,4,779.0,2626.62,2,2,standard,none,no,0
auto,65,3,4691.41,1462.84,1,3,basic,front,no,0
auto,58,1,1684.33,977.6,1,0,premium,front,no,0
health,74,19,1717.97,2079.99,1,2,standard,rear,yes,0
health,49,14,1393.03,3698.96,1,2,basic,none,no,0
auto,62,15,6273.87,1307.8,0,2,premium,front,no,0
auto,35,5,5991.07,1256.38,0,0,basic,none,no,0
health,77,12,12944.47,3329.27,1,0,standard,none,no,0
auto,56,1,2252.97,1438.53,1,1,basic,rear,no,0
auto,66,13,4243.63,1472.5,1,1,standard,front,no,0
property,46,11,1476.55,1500.31,1,3,standard,none,yes,0
property,71,6,2879.79,1750.24,2,2,basic,none,yes,0
auto,22,14,2532.11,823.18,1,3,standard,side,yes,0
property,25,12,5039.77,1380.68,0,0,basic,none,no,0
health,49,8,7419.86,2028.77,0,3,standard,rear,yes,0
property,63,3,7286.27,2021.55,2,0,basic,none,no,0
property,68,0,2018.34,3225.99,1,2,basic,none,no,0
health,45,18,7324.11,4535.52,1,1,basic,none,yes,0
auto,58,5,3530.31,3851.59,2,3,standard,side,yes,0
auto,52,6,2900.92,2856.43,0,2,premium,none,yes,0
health,77,13,2217.29,1678.46,1,1,premium,none,yes,0
auto,58,5,2460.32,1324.07,2,2,standard,rear,no,0
health,43,7,12327.89,1824.28,0,2,standard,none,yes,0
auto,78,14,4515.12,2423.07,1,2,premium,side,no,0
property,24,11,4114.32,2727.03,0,2,standard,none,yes,0
property,79,13,3030.33,2468.94,1,2,basic,none,no,0
auto,27,0,20174.71,1701.75,1,3,standard,front,yes,0
health,35,9,9077.08,2679.62,0,0,basic,side,yes,0
property,68,9,2197.9,3396.28,1,1,standard,none,yes,0
health,63,12,3006.31,2807.59,1,3,basic,none,no,0
property,78,3,3133.89,1779.33,1,1,basic,front,no,0
health,64,3,4032.37,1191.63,1,3,standard,none,yes,0
auto,57,15,2228.63,1177.58,1,2,basic,side,no,0
auto,39,13,4950.14,1286.13,0,1,premium,side,no,0
auto,18,16,10061.4,2056.04,1,1,premium,none,no,0
auto,25,5,1451.66,2344.67,1,1,standard,none,no,0
health,36,19,1652.92,891.35,0,0,standard,rear,yes,0
health,20,5,2596.16,1405.29,1,1,basic,front,no,0
auto,49,13,2681.8,2041.91,2,2,basic,side,no,0
auto,66,3,14748.93,1153.04,0,3,premium,side,no,0
auto,77,18,7340.75,2246.1,2,3,basic,none,no,0
auto,48,6,7051.71,1550.43,0,1,basic,rear,yes,0
health,72,16,3025.84,1259.27,0,3,basic,side,yes,0
auto,79,6,2979.71,1856.79,2,1,standard,none,no,0
property,71,15,1317.91,2199.84,1,3,standard,rear,no,0
property,46,9,6293.16,1182.91,1,3,basic,side,yes,0
health,38,1,5134.5,1601.5,0,1,basic,none,no,0
health,78,3,8957.07,2284.36,0,2,standard,side,yes,1
property,32,13,3141.39,1235.16,1,3,basic,front,yes,0
auto,43,3,3296.96,789.28,0,0,basic,none,no,0
auto,22,5,4101.19,838.58,1,0,basic,none,no,0
auto,67,10,6797.62,1467.0,0,2,standard,none,yes,0
auto,58,5,1300.95,935.23,0,0,basic,rear,yes,0
auto,23,2,6095.09,1519.5,0,3,basic,none,yes,1
health,31,12,3589.09,4156.68,0,1,standard,none,no,0
auto,52,13,1735.33,907.51,0,1,basic,side,no,0
auto,51,14,846.22,1569.79,0,3,premium,side,yes,0
auto,67,18,3309.22,5250.89,0,2,premium,none,yes,0
auto,34,2,10030.63,2217.34,2,3,standard,front,yes,0
health,75,8,11757.88,1504.38,1,2,basic,none,yes,0
auto,45,4,4669.29,1671.64,2,2,basic,rear,no,0
auto,69,18,14377.27,2241.01,1,2,standard,rear,no,0
auto,32,10,3533.14,4221.25,0,3,basic,none,yes,0
health,20,1,7096.18,1386.55,1,3,standard,none,no,0
auto,21,13,2654.84,1237.93,1,0,basic,front,yes,0
health,41,0,2539.65,907.41,0,2,standard,none,yes,0
property,77,5,2265.94,1903.69,2,3,basic,none,no,0
auto,21,14,860.6,895.3,1,2,standard,side,no,0
auto,40,10,8963.93,1433.84,0,1,basic,none,yes,0
health,24,15,2323.56,1147.86,1,3,basic,none,yes,0
auto,75,11,2077.65,3093.51,0,1,standard,side,yes,0
property,59,16,1594.03,1402.21,1,0,standard,none,yes,0
health,65,11,3155.65,2204.96,0,1,premium,none,no,0
auto,62,1,12512.01,810.75,0,0,basic,front,no,0
auto,58,1,15766.54,1930.92,2,2,basic,rear,yes,0
health,65,15,1138.42,990.71,1,3,standard,none,no,0
health,18,0,2840.93,1461.44,1,1,basic,front,no,0
auto,71,7,1765.08,5462.17,0,2,premium,rear,yes,0
health,63,0,7272.36,2881.56,2,3,basic,none,no,0
auto,63,6,4449.8,1695.6,0,1,premium,none,no,0
property,42,11,2331.81,8950.56,1,3,standard,rear,no,0
property,67,3,3830.69,1144.14,1,0,basic,side,no,0
auto,41,9,2606.61,3237.67,0,2,basic,none,no,1
auto,21,19,11270.82,840.22,0,0,standard,none,no,0
auto,74,1,5339.42,1600.45,0,3,standard,front,no,0
property,32,1,5818.96,921.59,0,0,basic,rear,no,0
auto,24,5,562.93,2056.25,1,3,standard,side,no,0
auto,56,16,3474.65,1859.36,0,1,standard,front,no,0
health,32,8,15650.34,1550.24,1,0,standard,side,no,0
auto,71,12,9212.26,3121.37,0,2,standard,none,yes,0
auto,45,0,999.28,1361.65,1,3,premium,rear,yes,0
health,18,14,2923.69,2129.04,1,0,standard,none,no,0
health,77,1,1570.17,2725.15,2,1,basic,none,yes,0
health,49,14,12061.47,861.25,1,2,basic,none,no,0
auto,34,2,4319.93,1243.63,0,0,basic,side,no,0
health,59,17,2127.16,1857.4,0,3,basic,none,no,0
health,50,5,3729.06,2477.68,3,2,basic,side,no,0
auto,19,3,586.89,3679.82,0,3,standard,side,yes,0
property,65,6,1703.65,1623.05,3,1,basic,none,no,0
auto,42,0,3735.03,1543.43,1,3,standard,none,no,0
auto,61,3,6581.2,1168.76,3,1,basic,none,yes,1
property,73,11,935.5,2132.38,0,1,basic,side,no,0
auto,55,6,2788.31,1558.44,4,1,basic,none,no,0
property,59,7,7381.85,1576.53,1,2,standard,side,yes,0
auto,33,16,1318.15,1725.13,0,0,basic,none,no,0
auto,32,2,4274.52,2382.28,1,2,basic,side,yes,0
auto,43,7,3813.04,1363.94,0,3,standard,none,no,0
auto,70,3,12089.18,1228.96,1,0,basic,none,yes,0
property,50,9,3099.22,2243.66,1,3,basic,side,no,0
property,39,6,3228.84,398.27,1,3,basic,none,no,0
health,66,0,6624.11,1336.97,1,0,basic,none,yes,0
auto,70,1,1438.79,1016.73,0,2,basic,none,no,0
auto,73,17,3119.36,3299.84,0,1,basic,front,yes,0
auto,36,1,2646.5,1450.31,0,2,standard,side,yes,0
auto,61,15,3303.58,1366.0,0,1,standard,side,no,0
auto,54,18,6593.8,1764.62,0,0,premium,rear,no,0
auto,45,9,5366.4,1342.53,0,1,standard,none,no,0
auto,42,6,2155.81,1478.34,1,0,basic,side,yes,0
health,25,15,4006.56,1898.0,0,1,basic,front,no,0
auto,35,19,10335.18,1464.08,0,3,premium,none,yes,0
auto,52,2,2034.58,1458.83,1,3,basic,none,yes,0
auto,72,19,4030.38,1091.08,1,0,standard,rear,yes,0
health,71,18,3180.48,1015.47,1,2,standard,none,yes,0
health,29,2,3483.86,1863.7,0,0,standard,side,no,0
auto,60,1,1162.75,2107.59,1,0,basic,none,no,0
property,23,14,9774.52,885.3,2,2,basic,rear,yes,0
health,59,1,2117.42,2643.8,2,1,basic,rear,no,0
auto,39,12,7467.01,2649.23,0,2,basic,none,yes,0
auto,45,1,2356.74,2943.47,2,0,basic,side,yes,0
property,62,13,2349.94,2100.53,0,0,standard,rear,no,0
auto,44,4,8511.61,2486.28,0,2,basic,side,yes,0
auto,68,1,7300.65,5391.14,1,0,basic,side,no,0
health,51,1,4213.57,1555.01,0,0,basic,none,yes,0
auto,79,3,6203.11,1071.86,0,3,premium,rear,no,0
health,57,10,2975.04,839.64,2,2,basic,rear,no,0
health,36,1,3619.69,4349.59,1,3,basic,none,no,0
property,66,16,2291.27,4378.2,2,2,standard,side,yes,0
health,43,12,6855.77,1138.77,2,1,basic,rear,yes,0
health,51,5,2240.85,1256.82,0,2,basic,rear,no,0
auto,26,19,10297.02,1537.64,1,3,basic,none,no,0
property,25,13,2918.77,3334.67,1,2,premium,front,no,0
auto,53,13,3693.6,949.89,3,1,standard,none,no,0
auto,29,3,6192.6,676.34,2,3,standard,none,no,0
property,79,14,3702.28,5344.15,1,2,premium,front,no,0
property,71,11,2955.62,2113.68,1,3,standard,none,yes,0
health,61,19,3565.23,2269.25,0,2,basic,none,no,0
auto,63,9,6806.77,1631.81,1,1,standard,none,no,0
auto,54,13,2289.3,2282.19,1,3,standard,none,yes,0
health,21,6,3333.02,848.01,0,2,basic,rear,yes,0
auto,42,0,3667.26,1187.42,1,3,standard,front,no,0
auto,48,2,6668.9,1905.65,2,3,basic,none,no,0
auto,74,17,3395.17,580.89,0,1,basic,side,no,0
property,31,14,12910.67,1554.24,0,0,basic,rear,no,0
property,48,7,3263.07,1507.06,1,0,basic,rear,yes,0
property,39,13,3082.89,1554.1,2,2,premium,side,yes,0
health,26,0,3230.13,1372.6,1,3,standard,none,no,0
auto,24,0,1448.6,1098.89,1,3,basic,rear,no,0
auto,40,10,1762.15,727.04,1,0,standard,none,no,0
auto,23,12,2511.24,1943.75,1,0,standard,rear,no,0
auto,22,18,8063.32,1556.1,2,2,basic,none,no,0
health,39,15,3557.49,909.01,1,1,standard,side,no,0
auto,30,5,2593.46,1865.47,1,1,standard,rear,no,0
property,52,16,8591.89,1560.13,1,0,basic,front,no,1
auto,19,9,10784.06,1435.82,0,0,standard,side,no,0
auto,36,16,8767.16,614.96,1,2,standard,side,no,0
health,46,3,2003.87,2543.72,1,2,standard,none,no,0
health,77,0,2574.28,976.01,0,3,premium,none,yes,0
auto,57,1,12959.9,1866.15,1,1,premium,none,no,0
health,72,19,4310.45,1206.97,1,2,basic,front,no,0
health,39,1,3018.94,1488.67,0,3,standard,none,no,0
auto,45,18,6020.01,3216.81,0,1,standard,front,yes,0
auto,44,14,7369.53,2358.57,0,0,basic,none,yes,0
property,73,2,2440.57,3181.22,1,3,premium,none,no,0
auto,77,17,4245.47,2132.8,2,0,premium,front,yes,0
auto,77,2,6964.58,2204.09,1,1,standard,none,yes,0
auto,64,2,1616.15,742.06,1,0,basic,side,yes,0
health,49,11,3672.55,1542.62,1,2,basic,rear,yes,0
property,51,5,1668.91,1615.74,0,1,premium,none,no,0
auto,78,5,1828.94,3333.68,0,1,premium,none,no,0
property,35,3,2454.87,1403.73,0,2,basic,none,no,1
property,39,12,5084.66,2064.06,1,1,basic,side,no,0
auto,73,0,2906.15,2024.1,2,1,standard,none,no,0
health,41,4,2312.55,3225.48,0,1,basic,none,no,0
property,32,11,3774.75,1691.09,0,0,standard,rear,no,0
property,52,9,1631.29,2735.02,1,3,premium,front,no,0
health,38,13,4915.57,770.91,1,3,basic,side,no,0
auto,73,4,8038.28,806.73,0,2,standard,none,no,0
auto,74,12,3444.58,577.28,0,0,standard,side,yes,0
auto,36,15,3159.43,2678.45,1,1,basic,none,no,0
health,50,7,4728.71,2532.17,1,1,basic,rear,yes,0
auto,79,5,880.13,2831.08,0,0,standard,rear,yes,0
health,64,11,5301.64,1288.61,1,3,standard,rear,yes,0
health,31,11,31930.6,1364.07,1,1,standard,side,no,0
auto,54,1,3341.34,1701.86,1,2,premium,none,yes,0
property,56,11,3349.65,3721.38,1,2,basic,rear,no,0
auto,58,3,6127.39,4217.15,1,1,premium,rear,no,0
auto,19,11,11518.77,2688.95,3,1,standard,none,no,0
property,36,18,7204.62,2133.48,0,3,basic,side,no,0
auto,70,10,805.19,3525.2,2,3,basic,none,no,0
auto,32,15,5401.21,1590.94,0,2,basic,rear,no,0
property,36,6,22034.2,1487.02,0,2,basic,none,no,0
property,37,18,5629.12,1695.09,0,0,premium,front,no,0
property,28,16,1622.59,1108.37,1,0,standard,rear,no,0
auto,27,18,4434.99,1656.55,0,0,basic,none,no,0
auto,39,14,1485.52,1034.11,2,3,basic,side,yes,0
auto,72,12,8629.68,3018.47,0,3,standard,side,yes,0
auto,18,10,1864.75,2372.84,0,0,premium,front,no,0
property,35,18,3835.18,3695.17,1,1,standard,front,no,0
auto,21,16,1997.3,800.6,1,1,basic,none,no,0
health,52,8,2483.65,4679.04,1,3,basic,rear,yes,0
auto,33,1,10304.19,823.66,2,1,basic,none,no,0
health,67,0,3914.41,993.11,1,0,standard,rear,no,0
auto,54,4,2461.58,1325.56,1,2,basic,none,no,0
auto,66,1,1633.27,3476.77,0,0,basic,rear,no,0
auto,57,4,982.21,2023.91,1,2,standard,front,no,0
property,45,2,1516.41,1600.52,1,3,basic,none,yes,0
health,71,19,3937.78,1216.44,1,0,premium,none,yes,0
health,47,1,7231.22,908.72,0,3,standard,none,yes,0
auto,76,12,2459.6,3185.34,1,2,basic,front,no,0
health,79,7,10931.25,2695.45,1,0,basic,none,no,0
health,54,3,2203.38,3555.41,0,0,standard,none,no,0
auto,59,14,3082.18,2204.84,1,0,standard,none,yes,0
health,33,19,1710.08,482.48,2,3,standard,side,no,0
property,68,15,7284.71,970.4,3,2,premium,rear,yes,0
property,59,19,15807.78,2281.15,2,1,standard,none,no,0
property,73,11,1060.75,1502.88,0,2,standard,side,no,0
auto,34,13,2857.45,1367.28,0,1,basic,none,no,0
auto,66,2,8825.02,1041.47,3,1,basic,rear,no,0
auto,47,17,1322.31,2903.86,0,2,standard,none,no,0
auto,29,14,5413.65,2271.27,1,0,basic,rear,no,0
auto,28,5,8561.5,2322.96,0,3,standard,none,no,0
auto,52,7,3845.89,1317.11,0,3,basic,none,no,0
health,37,12,5351.78,1974.64,1,3,basic,rear,yes,0
health,24,0,12489.35,926.23,1,0,standard,front,yes,0
health,44,16,14241.26,1694.4,0,1,standard,front,yes,1
property,58,5,3486.39,510.83,1,1,basic,none,yes,0
auto,37,1,2508.24,825.46,0,2,standard,front,no,0
auto,77,6,1912.21,1538.93,1,1,standard,none,no,0
health,66,16,7214.69,5928.69,2,1,basic,side,yes,0
health,49,5,1393.76,734.82,0,0,basic,none,yes,0
auto,75,10,3050.92,970.89,0,2,standard,rear,yes,0
property,44,16,3912.31,2015.03,1,2,standard,none,no,0
auto,26,0,2560.35,4379.59,0,2,basic,none,yes,0
health,20,15,4428.76,2000.37,2,1,basic,none,yes,0
property,76,5,21920.1,2568.48,1,3,standard,none,no,0
auto,77,13,3343.86,1527.21,1,2,basic,side,no,0
health,63,3,2684.41,1400.65,1,0,premium,side,yes,0
auto,24,2,7411.09,1883.89,1,1,basic,side,no,0
auto,36,15,4305.76,1300.96,1,2,standard,side,no,0
auto,20,16,9971.99,2597.06,3,0,premium,rear,no,0
health,21,19,4085.83,809.86,0,1,basic,none,no,1
health,33,13,3059.8,2821.41,2,3,standard,front,yes,0
property,53,9,1044.6,1843.93,1,1,basic,none,yes,0
health,22,3,1171.67,1623.99,1,2,standard,front,no,0
auto,79,5,1007.28,795.13,0,2,premium,rear,yes,0
property,46,12,4748.28,1107.77,2,1,premium,front,yes,0
auto,34,6,1403.08,3292.25,1,3,basic,side,yes,0
health,49,9,8768.35,1628.97,0,0,standard,none,no,0
auto,66,3,3718.86,2078.08,2,1,standard,none,no,0
health,37,8,3068.88,1164.72,0,2,basic,rear,no,0
property,20,4,2016.87,1781.97,0,0,standard,none,no,0
auto,21,2,5628.4,910.44,0,3,basic,front,no,0
health,70,2,2073.21,1900.63,1,0,premium,rear,no,0
health,24,10,1826.64,2176.17,1,2,premium,rear,yes,0
auto,57,7,8365.28,2122.41,1,2,standard,rear,yes,0
auto,41,1,4666.83,1150.79,1,3,basic,none,yes,0
health,66,10,3088.84,1523.82,0,0,premium,none,yes,0
auto,21,3,5704.46,2365.15,0,0,basic,none,no,0
auto,73,0,3663.79,1626.66,0,2,standard,rear,yes,0
health,61,2,4760.51,1566.11,2,3,standard,side,yes,0
health,45,8,2055.36,4683.19,1,3,basic,front,no,0
auto,30,19,15510.6,1123.84,3,0,basic,side,yes,0
property,78,4,2426.65,3103.26,0,1,basic,none,no,1
property,36,5,10820.65,1015.02,1,1,premium,rear,no,0
property,48,4,3190.05,2508.38,3,3,standard,rear,yes,0
health,42,7,6405.86,2576.21,2,2,standard,none,yes,0
auto,32,14,6087.28,1400.83,1,1,standard,side,no,0
auto,43,6,8125.77,983.64,2,0,standard,none,no,0
property,27,13,2021.44,675.05,0,2,standard,none,no,0
property,18,17,7730.62,1329.35,0,1,standard,none,yes,0
health,35,18,13260.01,2352.21,2,0,premium,none,no,0
health,24,11,3037.88,1054.88,3,0,basic,none,yes,0
auto,43,14,3730.49,1897.84,2,2,premium,none,no,0
health,71,18,2523.97,864.18,3,2,premium,none,yes,0
auto,28,15,2856.91,1608.5,1,1,basic,none,no,0
health,18,5,12064.18,1018.9,0,3,premium,side,no,0
health,24,2,1802.69,1738.9,0,2,premium,front,no,0
health,49,2,1882.8,1407.35,2,2,basic,side,yes,0
auto,35,17,11244.46,997.07,0,0,basic,none,no,0
health,48,11,5637.43,1300.58,1,1,standard,side,yes,0
auto,19,5,16062.77,1133.34,0,3,standard,none,no,0
auto,38,6,2656.31,937.33,0,1,basic,none,no,0
auto,43,5,3977.45,3106.88,1,2,standard,side,yes,0
auto,44,16,2292.79,1510.07,1,3,standard,front,no,0
auto,52,12,4025.12,601.18,0,2,basic,none,no,0
auto,66,17,1051.67,1323.93,2,2,basic,none,yes,0
auto,46,6,5880.92,2856.51,3,0,basic,none,yes,0
auto,70,9,4566.18,1235.61,0,1,standard,rear,no,0
auto,50,2,3497.18,3823.31,0,0,basic,none,no,0
health,34,19,2770.39,1178.11,2,0,standard,none,no,0
auto,32,10,1946.27,2325.53,0,2,standard,none,yes,0
auto,37,11,6059.6,3036.07,0,0,premium,none,yes,0
auto,55,8,1603.97,2264.47,2,1,premium,rear,yes,0
auto,33,5,5209.96,909.37,1,1,premium,none,no,0
health,74,18,15554.67,1128.64,2,1,standard,rear,no,0
property,47,9,10299.65,3245.54,3,2,basic,rear,no,0
auto,71,13,1269.54,1209.18,0,1,basic,none,no,1
auto,60,0,2500.59,2944.92,1,3,standard,front,no,0
auto,38,5,4890.33,1458.05,0,1,basic,none,yes,0
auto,32,16,3466.16,1940.53,1,3,basic,none,no,0
property,64,1,1367.06,904.11,1,3,basic,rear,no,0
health,38,2,4768.19,1333.91,0,1,basic,none,yes,0
health,33,16,3615.51,1167.18,1,3,standard,none,no,0
property,75,6,13905.33,2023.94,2,1,premium,none,yes,0
health,47,5,3049.52,1894.29,2,3,basic,rear,yes,0
auto,21,11,8246.98,2278.62,1,3,basic,side,no,0
health,48,3,1499.73,1414.79,0,1,standard,rear,yes,0
health,46,0,1772.94,1135.56,1,1,basic,none,no,0
auto,71,0,6033.99,1981.01,2,3,premium,none,yes,0
health,62,1,7774.56,1080.53,1,2,basic,front,no,0
auto,29,3,1862.78,3100.17,0,2,basic,side,no,0
auto,27,13,3702.84,1707.42,0,2,standard,none,no,0
health,55,5,1384.22,1535.99,0,0,standard,none,yes,0
auto,20,1,3207.18,2278.08,0,0,standard,front,no,0
auto,37,0,6541.0,1740.31,3,3,basic,rear,no,0
auto,26,9,2685.25,789.16,1,1,basic,front,yes,0
health,19,16,3058.49,1063.46,2,3,basic,none,yes,0
property,74,6,1651.01,3068.22,2,1,standard,none,yes,0
health,23,1,2312.65,1885.49,2,3,basic,none,no,0
health,18,4,12464.97,779.94,0,2,basic,side,yes,0
auto,75,9,3831.64,2156.1,1,0,standard,side,yes,0
health,29,3,1805.12,1367.0,0,1,standard,rear,no,0
auto,68,19,2920.94,1167.65,1,3,basic,side,no,0
auto,19,15,1190.11,1020.01,4,0,premium,rear,yes,0
health,27,6,1790.21,2980.85,1,0,standard,front,no,0
auto,24,19,9435.53,676.72,0,0,premium,side,yes,0
property,61,6,3295.33,1189.44,1,2,basic,none,no,0
auto,56,2,13677.55,1919.97,0,3,standard,side,yes,0
health,47,18,3405.87,3980.57,2,3,basic,side,no,0
auto,32,19,3550.4,2384.94,0,3,basic,rear,no,0
health,23,6,5702.31,1184.4,0,3,basic,side,yes,0
health,53,11,560.7,3884.22,0,3,basic,none,no,0
auto,32,3,4202.6,918.22,0,2,premium,none,no,0
property,54,12,3518.22,2064.55,1,3,standard,none,no,0
health,60,13,10303.38,2307.44,0,2,basic,none,no,0
auto,70,14,7152.92,1163.8,0,0,basic,side,no,0
health,48,11,1646.51,2562.65,1,0,basic,front,yes,0
auto,18,14,8686.25,1398.36,0,0,standard,rear,no,1
health,35,11,3030.19,2559.51,0,1,basic,side,no,0
auto,70,16,1933.1,720.69,1,1,standard,side,no,0
property,51,3,4179.61,2137.7,0,2,basic,none,no,0
auto,56,9,3159.16,1471.37,2,2,standard,none,yes,0
health,46,8,10688.52,3212.65,2,1,premium,side,no,0
property,28,10,4621.32,1768.72,0,2,basic,side,yes,0
property,73,2,4204.71,3376.57,0,3,premium,none,no,0
health,65,6,6839.38,2330.43,0,0,premium,none,no,0
health,79,19,7824.46,1696.37,0,1,standard,none,no,0
health,71,2,6301.38,2680.7,0,3,basic,front,no,0
auto,36,12,9834.23,2689.28,2,3,standard,side,no,0
health,33,13,5575.17,2289.19,1,1,basic,none,no,0
health,33,9,4094.32,574.7,1,2,premium,rear,no,0
auto,74,0,8668.23,1106.24,0,2,standard,front,no,0
health,52,0,3416.5,3612.13,0,2,standard,rear,yes,0
auto,46,5,3726.68,964.9,2,3,standard,none,yes,0
health,78,2,12150.24,2810.82,0,0,basic,none,yes,0
auto,55,1,11331.56,2574.03,0,2,standard,rear,no,0
property,74,3,3620.17,1257.81,0,0,premium,front,no,0
auto,79,3,2650.53,666.73,1,3,basic,rear,yes,0
auto,22,16,10139.78,1360.41,0,2,basic,none,yes,1
health,40,12,6375.98,5110.27,2,2,premium,none,yes,0
auto,63,0,4541.02,1174.22,1,3,basic,side,no,0
auto,68,12,2906.45,1215.45,1,3,premium,rear,yes,0
